_id,duration,disposition,type
1558137f-4ab5-409e-8159-109c2e9358d5,3927.771375,No Pay - Bankruptcy,negative
05c54daf-9bca-4bd7-b833-b3ba8c1e06e0,146.52,No Pay - Cant pay now,negative
84fb4fec-b36f-43bc-a4ef-a27ba322c146,749.635875,No Pay - Dispute,negative
2133927a-0d11-4d54-98d6-cd21c71417f0,448.104375,No Pay - Dispute,negative
048518c6-c17c-4524-8ff3-6a0b2735863c,108.432,No Pay - Dispute,negative
7d1206a8-ca1f-4478-aea0-590f27da4af2,267.70275,No Pay - Not right now,negative
d8df04f1-9c6a-42e4-bd1a-508102f75588,37.152,No Pay - Cant pay now,negative
a9a297c7-7f99-4063-8847-55ca48ce63b1,427.833375,No Pay - Dispute,negative
376ab872-a1d0-4f45-acfa-480425ef1119,384.07825,No Pay - Not right now,negative
16767a2f-e37c-451a-a430-553d1cd2375f,757.263625,No Pay - Dispute,negative
d347b2a6-0d4e-45d0-b585-666d7e786576,364.104,No Pay - Dispute,negative
8965d975-3721-475d-ad5b-04a54a6f4e64,270.733,No Pay - Bankruptcy,negative
149e9ebb-a00b-4fef-b1e5-130a1bf01a10,327.444875,No Pay - Not right now,negative
bbb5b095-b612-428e-ace2-218e21156ac1,198.922375,No Pay - Not right now,negative
adeb72b0-d6bb-4c40-ab7b-070bc3622f12,359.079125,No Pay - Dispute,negative
d8af01ee-c571-4586-8f09-051ee46b1bfa,317.231,No Pay - Not right now,negative
9b7c4bfb-58ac-4bd1-af08-df00dd64bf0c,677.694625,No Pay - Not right now,negative
4307fc04-ec7c-4625-a9c8-6b6bd7914945,248.999125,No Pay - Dispute,negative
5df64e94-d909-4b23-a166-c4af494c600a,105.12,No Pay - Cant pay now,negative
81fb05c3-8f21-4a3b-a1f0-325418ddd9a6,300.512625,No Pay - Not right now,negative
50e0586b-9b7d-4286-a363-7f995b38b552,68.4,No Pay - Dispute,negative
4eea3e71-c692-4025-87b4-886c617dc3e7,538.30525,No Pay - Dispute,negative
d2b334a4-bcab-498d-8f60-c360129d0af4,722.6775,No Pay - Dispute,negative
3e8ca228-cabf-428b-8073-9c850e7ba682,435.435,No Pay - Dispute,negative
c491813c-e4e7-4882-8262-1da92175934a,1001.900375,No Pay - Not right now,negative
3ad4464f-7cf6-473b-8477-b4cbbaf9e58f,239.281625,No Pay - Not right now,negative
9b4a32bf-bff6-453d-bae4-bb496e2d42a2,240.3265,No Pay - Dispute,negative
e0773946-fce0-42ed-964e-178c1f01c68c,38.232,No Pay - Cant pay now,negative
c5a715f2-ad38-4288-a6ad-ab08beb98667,435.3305,No Pay - Dispute,negative
1e64679e-bb25-4301-89f1-8af9bfbd246a,181.94275,No Pay - Dispute,negative
2c8d8974-a6f0-44a5-b31e-a4921f21f140,277.106875,No Pay - Can't pay now,negative
a4541ada-5194-474d-bb3f-86a917d5b3c6,763.350125,No Pay - Not right now,negative
26c4f23d-0270-4059-b183-7810bb83b834,304.3265,No Pay - Not right now,negative
5210ebb9-f1e0-46a7-a5f5-771e6e60f268,428.199125,No Pay - Dispute,negative
3a9d936c-6fdc-4f9d-b06f-dd1fb8a56944,653.662,No Pay - Not right now,negative
7cde1a21-2d10-4ee7-88d0-bcb31f612d27,218.088,No Pay - Cant pay now,negative
a9a3707b-cafa-4b8a-a3f2-54699a0244ed,296.124,No Pay - Not right now,negative
0092e11e-334e-4152-8369-0336dd43e964,286.641625,No Pay - Dispute,negative
d694fb84-1298-487f-8246-f15d333080ca,421.903625,No Pay - Not right now,negative
b0c82b14-59b2-409e-bdc9-1e6e3e149be0,41.112,No Pay - Cant pay now,negative
20e48968-c14e-451b-aa67-5966018d13e1,475.48075,No Pay - Dispute,negative
f1dfb96c-e9b3-458e-ba75-fd8f11a7fd01,483.761625,No Pay - Dispute,negative
79d0450e-0fe2-4e32-8a2d-db800a990838,554.866875,No Pay - Not right now,negative
2df8f4af-580c-4f81-b4b3-36e40c92086d,153.36,No Pay - Dispute,negative
c7d4f639-fc72-4159-8928-95e4bbe0c519,248.50275,No Pay - Can't pay now,negative
422d27de-6bf2-4e08-ac85-64c2013b2646,483.552,No Pay - Cant pay now,negative
54a45603-f840-455d-bee3-b819a2f9d3b3,1342.380375,No Pay - Dispute,negative
2f9832b5-3dd7-4628-bc28-6af83f064989,157.968,No Pay - Dispute,negative
3f284a87-c730-4c96-a2f0-d57d6b2d25d6,99.0,No Pay - Cant pay now,negative
adb23bb7-c983-448d-9078-d1d2f82c32d6,515.186875,No Pay - Dispute,negative
faf01e83-29cf-4222-9e77-7ea8bdb7deb6,85.002375,No Pay - Not right now,negative
868d502f-4bcd-431c-b5c8-c89becd60016,272.457125,No Pay - Dispute,negative
2e07df6a-a07a-4574-8215-6e8ef2282ce4,23.976,No Pay - Cant pay now,negative
4dd0208c-979c-4fe9-af23-1c7915a5ce2e,423.31425,No Pay - Dispute,negative
c19771a8-b3d5-4308-8998-56b57e9d69bf,253.656,No Pay - Dispute,negative
afb42d5a-e705-4602-af96-a9be84e2efee,239.2555,No Pay - Not right now,negative
31971d6e-d1c1-453d-9432-3733ca28d9f4,530.52075,No Pay - Dispute,negative
fb4b8282-1f0d-4cb5-9d96-52f48874b713,133.276625,No Pay - Dispute,negative
8ed27142-4032-4ab7-8320-50f85d8923a0,215.32725,No Pay - Not right now,negative
6e41d9ca-5d17-432b-b245-0f6e8ec7d265,881.24075,No Pay - Dispute,negative
2d045a0a-016e-499d-8ecb-28ba36d3c509,108.98275,No Pay - Can't pay now,negative
d1cc6219-a856-447b-b5b1-d7091f856c4c,243.144,No Pay - Dispute,negative
d1b18e31-0d7a-412f-8e38-3a60e3cd5686,543.137875,No Pay - Dispute,negative
1222628d-5266-4ed0-8457-e1a0b38fb667,425.613,No Pay - Dispute,negative
244258e0-28bc-49d2-a1ad-4af75983c4e4,127.373,No Pay - Not right now,negative
ae0abbb2-40db-4f60-9c20-f7a91d887256,468.297125,No Pay - Not right now,negative
f3429a48-b8df-434c-a329-899a5b87b92c,220.65625,No Pay - Not right now,negative
7d96ccbb-484a-4de2-8a1b-40fcc66055a9,2050.821125,No Pay - Dispute,negative
dc145e41-f173-446a-91ba-c30b54ada6cd,306.566625,No Pay - Dispute,negative
a2f4bbe5-64e8-494f-997e-9a3968feefb3,828.577875,No Pay - Dispute,negative
0814c683-a5d5-411a-8f9d-a186388d0ad7,274.93875,No Pay - Dispute,negative
e36cb093-8b70-4611-885e-7e0798d0b741,88.776,No Pay - Cant pay now,negative
9d2b079d-944c-4f7c-8fa0-e62942804bdf,28.872,No Pay - Cant pay now,negative
69291921-42ef-466d-91e1-5cd3dbd7db96,717.897125,No Pay - Dispute,negative
73fb622f-9c21-4ce4-a835-881e7dbbb11a,506.017875,No Pay - Dispute,negative
ba91a08f-a349-4763-b6b2-591c8a5a8ba4,536.555,No Pay - Dispute,negative
d45be980-89ae-47f9-b01b-8f470940bcaa,125.712,No Pay - Cant pay now,negative
d4e57214-6f96-4565-a0cd-247ff300c8ca,95.76,No Pay - Cant pay now,negative
33759647-c0e0-477b-a7a3-ee9ef5da66ec,31.968,No Pay - Cant pay now,negative
1d36f814-4ada-49ac-91b3-82e35e71ea9b,33.624,No Pay - Cant pay now,negative
9410b5d1-13a0-41fe-ac7d-b3d6392226c7,534.334625,No Pay - Dispute,negative
b0322c64-c394-479a-aaaf-1046f0e004be,1039.20325,No Pay - Dispute,negative
1bce7c66-4e65-4c8c-bf71-0e1fb38fc78f,367.072625,No Pay - Dispute,negative
edec6724-42c6-44c1-95d9-90283dfec922,114.93875,No Pay - Not right now,negative
